MN_EARN_WNE_P10,PCIP27,PCIP11,PCIP14
107600,3.45,5.22,15.83
98400,1.17,5.8,18.02
49800,1.99,1.25,13.45
64200,1.5,2.05,0.85
66700,0.91,2.35,26.63
76000,1.39,2.72,4.65
82500,3.24,9.97,55.91
64900,1.44,15.14,18.36
55800,2.68,2.23,0.66
64500,2.56,3.09,9.75
58400,2.07,2.14,13.27
59300,5.43,4.97,7.94
53200,0.71,14.12,3.06
47400,1.05,0.76,2.1
44800,0.7,1.52,0.18
65900,0.9,5.89,8.75
72200,1.44,0.96,0.48
108900,2.61,3.69,16.02
43900,0.19,1.47,1.82
56200,1.6,1.6,0.76
38100,0.77,2.55,14.85
37900,2.95,4.96,2.01
48600,2.24,4.56,7.45
57200,2.09,2.99,23.62
39100,0.91,0.91,0.48
54700,0.84,1.59,11.81
53600,0.72,2.03,14.76
40100,0.99,3.53,10
43600,0.48,0.62,2.9
84700,2.55,4.77,28.82
45900,1,2.71,11.13
27200,1.05,1.05,2.79
45600,0.79,2.34,9.13
44200,1.08,1.17,6.43
57300,0.64,0.58,16.07
57600,0.85,2.56,0.71
40300,0.66,2.4,0.37
51900,1.41,0.7,25.35
54300,1.37,0.87,5.15
48200,2.07,3.92,3
40100,2,0.86,1.14
43900,3.04,3.87,1.11
71200,1.75,2.25,15.75
50600,1.24,0.5,14.3
44500,0.24,2.18,2.86
49500,0.48,2.7,11.52
43400,0.71,2.09,10.95
37700,0.52,4,6.71
44600,0.3,1.06,1.02
41800,1.83,1.83,14.94
53300,0.58,3.05,10.1
59300,0.66,0.83,10.91
40200,0.36,0.72,2.34
48600,1.14,2.03,0.13
59200,3.67,3.19,25.2
49000,1.47,1.3,5.21
56400,4.04,2.16,1.08
53900,0.9,4.96,14.47
48600,1.02,1.94,5
59000,1.19,2.39,15.75
47100,1.25,1.19,0.67
76300,1.09,1.63,15.96
102700,6.59,14.84,27.3
77400,0.66,4.8,19.24
51800,2.97,2.23,6.68
52900,0.16,0.32,4.19
43600,0.51,1.54,9
81000,3.25,1.14,23.41
89200,1.14,6.74,32.14
48600,0.79,2.69,6.49
55300,0.55,3.64,17.77
55300,0.71,3.06,17.88
55300,0.54,4.42,25.34
55300,1.73,6.21,14.85
123600,1.99,4.52,10.01
58000,1.04,2.78,0.69
58000,1.65,2.96,10.94
48900,1.61,0.75,8.17
54000,1.92,2.47,2.47
49600,3.95,3.39,4.24
62100,0.84,0.94,0.52
47200,2.24,3.99,1.04
65800,4.03,7.81,4.28
85100,2.23,1.4,12.79
59500,0.15,3.25,13.76
58200,1.27,2.53,13.5
87600,6.09,5.91,6.03
56200,0.89,1.26,8.34
58200,0.34,0.5,16.75
57100,0.99,2.07,19.73
51700,1.01,2.01,6.22
31000,1.44,3.5,2.67
47700,1.59,1.23,5.54
50600,1.27,4.24,17.8
46900,1.24,2.12,3.89
42200,0.9,1.24,2.45
40600,0.77,2.02,5.9
56300,1.01,0.9,10.26
39100,0.43,0.86,2.4
43400,1.02,3.98,15.94
45000,0.28,4.2,0.28
48200,1.34,1.34,1.79
83100,1.76,2.07,16.61
56200,0.96,1.36,3.75
47000,0.27,2.15,2.56
41200,1.47,2.52,0.98
59000,1.71,3.32,5.07
45500,0.91,1.29,8.41
56100,0.43,2.81,18.36
49700,1.1,1.1,0.27
45200,0.18,3.8,0.36
44300,0.68,1.65,2.62
47000,1.04,1.43,2.33
41900,1.27,1.04,6.07
39000,0.78,0.95,14.84
86400,5.42,5.42,21.49
50000,3.47,1.35,4.24
73000,5.15,1.9,10.48
49200,0.81,3.34,1.61
45500,0.72,2.15,0.6
46300,0.51,0.51,14.11
65600,0.91,2.24,14.03
51700,0.57,1.97,5.15
68600,2.39,3.79,10.36
59000,0.74,8.44,10.07
42200,1.01,1.56,8.77
49100,0.77,1.63,6.88
57600,0.95,0.95,1.94
51000,1.01,2.59,5.46
47900,1.26,2.26,6.73
58500,0.91,2.14,11.76
62800,1.15,3.25,5.74
44100,0.77,0.7,3.09
69100,1.55,3.41,7.51
43300,1.05,2.49,0.88
48600,0.51,2.25,4.9
61300,1.77,2.97,8.14
53500,1.45,1.79,7.74
47100,2.2,6.16,0.79
61900,0.84,7.41,3.78
46900,1.5,2.1,1.95
60300,1.01,4.83,1.49
39100,0.21,0.25,0.41
36700,0.89,3.18,1.89
47600,0.83,1.24,5.83
50600,2.01,1,1
42100,2.07,2.07,1.38
65000,2.04,3,24.58
47500,1.04,3.44,4.5
77200,1.58,3.03,13.96
62100,2.4,2.93,23.47
36700,1.1,1.46,2.93
89000,3.91,3.09,1.85
47800,0.44,3.93,0.04
45300,0.2,5.18,3.81
61600,1.45,2.13,13.31
52300,2.37,1.97,0.26
48500,1.69,1.93,13.49
50400,0.49,1.73,4.08
60400,1.27,2.03,7.45
48500,0.93,1.25,14.02
54400,0.93,1.54,10.2
65800,3.84,4.41,10.32
40200,0.47,1.93,1.05
41500,0.13,3.1,1.42
50600,0.54,1.22,13.41
44200,1.4,2.95,0.93
46100,0.38,1.27,0.13
67500,0.99,1.54,12.4
47000,1.85,5.74,4.37
64800,1.9,2.35,11.77
46100,0.54,4.45,5.97
49600,0.77,2.18,23.65
41700,1.06,2.53,0.48
51400,1.13,1.23,9.67
122900,3.65,12.97,19.31
61200,3.05,4.33,21.24
65800,0.15,10.25,4.07
45200,0.54,1.25,3.26
62000,1.63,1.01,8.8
62000,1.63,1.01,8.8
62000,1.63,1.01,8.8
